game_number,move_number,player,position,score,distance_from_center,position_x,position_y,aggressive_sequence,defensive_pressure,total_opportunities,total_threats,minor_opportunity,moderate_opportunity,major_opportunity,critical_open,win_sequence,moderate_threat,major_threat,critical_threat,lose_sequence,total_local_stones
1,43,Black,"(8, 11)",5360,5,8,11,0,0,2,3,1,1,0,0,0,1,1,0,0,17
1,45,Black,"(10, 10)",5100,6,10,10,0,0,3,6,3,0,0,0,0,1,1,0,0,19
1,47,Black,"(5, 5)",100000600,4,5,5,0,1,0,3,0,0,0,0,0,1,1,1,0,29
1,49,Black,"(3, 9)",100000600,6,3,9,0,2,0,3,0,0,0,0,0,1,1,1,0,16
1,51,Black,"(2, 11)",1000000550,9,2,11,0,3,3,5,3,0,0,0,0,0,1,0,1,8
1,53,Black,"(1, 6)",100000530,7,1,6,0,4,1,3,1,0,0,0,0,0,1,1,0,11
1,55,Black,"(2, 6)",100000515,6,2,6,0,5,1,3,1,0,0,0,0,0,1,1,0,20
1,57,Black,"(4, 8)",1000000550,4,4,8,0,6,1,2,0,1,0,0,0,0,1,0,1,33
1,59,Black,"(5, 12)",1000000540,7,5,12,0,7,2,4,2,0,0,0,0,0,1,0,1,17
2,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
2,3,Black,"(4, 9)",650,5,4,9,0,0,3,4,3,0,0,0,0,1,0,0,0,3
2,5,Black,"(4, 8)",1595,4,4,8,0,0,3,4,2,1,0,0,0,0,1,0,0,5
2,7,Black,"(5, 10)",5160,5,5,10,0,0,2,3,1,1,0,0,0,1,1,0,0,7
2,9,Black,"(2, 12)",100000550,10,2,12,0,1,3,5,3,0,0,0,0,0,1,1,0,6
2,11,Black,"(3, 9)",5140,6,3,9,0,0,2,3,1,1,0,0,0,2,1,0,0,10
2,13,Black,"(7, 6)",730,1,7,6,0,0,3,3,2,1,0,0,0,1,0,0,0,6
2,15,Black,"(6, 5)",1590,3,6,5,0,0,3,4,2,1,0,0,0,0,1,0,0,7
2,17,Black,"(6, 9)",1000000565,3,6,9,0,1,2,3,1,1,0,0,0,0,1,0,1,15
2,19,Black,"(8, 7)",5700,1,8,7,1,0,6,2,4,0,2,0,0,0,0,0,0,12
2,21,Black,"(9, 8)",80001535,3,9,8,2,0,5,4,3,0,1,1,0,0,1,0,0,12
2,23,Black,"(5, 4)",800000045,5,5,4,3,0,5,3,3,0,1,0,1,0,0,0,0,7
3,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
3,3,Black,"(9, 9)",650,4,9,9,0,0,3,4,3,0,0,0,0,1,0,0,0,3
3,5,Black,"(8, 10)",1595,4,8,10,0,0,3,4,2,1,0,0,0,0,1,0,0,5
3,7,Black,"(10, 9)",5220,5,10,9,0,0,2,4,1,1,0,0,0,1,1,0,0,7
3,9,Black,"(7, 8)",100000585,1,7,8,0,1,3,4,2,1,0,0,0,0,1,1,0,9
3,11,Black,"(11, 12)",1050,9,11,12,0,0,3,4,3,0,0,0,0,0,1,0,0,8
3,13,Black,"(12, 9)",1595,7,12,9,0,0,3,4,2,1,0,0,0,0,1,0,0,8
3,15,Black,"(13, 10)",1000000575,9,13,10,0,1,3,3,2,1,0,0,0,0,1,0,1,8
3,17,Black,"(9, 11)",5020,6,9,11,0,0,1,4,1,0,0,0,0,1,1,0,0,15
3,19,Black,"(11, 7)",100001030,4,11,7,1,1,3,4,2,0,1,0,0,0,1,1,0,13
3,21,Black,"(13, 11)",100000700,10,13,11,0,2,1,2,0,1,0,0,0,0,1,1,0,12
3,23,Black,"(13, 8)",500005650,7,13,8,1,3,3,4,2,0,1,0,0,0,1,1,0,14
3,25,Black,"(10, 12)",5500,8,10,12,0,0,2,2,0,2,0,0,0,1,1,0,0,18
3,27,Black,"(9, 8)",1000000610,3,9,8,0,1,1,2,1,0,0,0,0,1,0,0,1,21
3,29,Black,"(8, 6)",1000000675,2,8,6,0,2,3,5,2,1,0,0,0,1,1,0,1,14
3,31,Black,"(11, 5)",1000000550,6,11,5,0,3,3,5,3,0,0,0,0,0,1,0,1,11
4,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
4,3,Black,"(8, 8)",730,2,8,8,0,0,3,3,2,1,0,0,0,1,0,0,0,3
4,5,Black,"(9, 8)",680,3,9,8,0,0,3,3,2,1,0,0,0,1,0,0,0,5
4,7,Black,"(10, 7)",5160,3,10,7,0,0,2,4,1,1,0,0,0,2,1,0,0,7
4,9,Black,"(8, 6)",100000585,2,8,6,0,1,3,4,2,1,0,0,0,0,1,1,0,8
4,11,Black,"(6, 8)",2880,2,6,8,1,0,6,3,4,1,1,0,0,0,0,0,0,7
4,13,Black,"(7, 8)",3180,1,7,8,2,0,3,2,1,1,1,0,0,1,0,0,0,12
4,15,Black,"(7, 9)",22200,2,7,9,3,0,4,1,2,1,1,0,0,0,0,0,0,14
4,17,Black,"(9, 11)",10700,6,9,11,4,0,3,4,2,0,1,0,0,0,1,0,0,10
4,19,Black,"(9, 10)",100000630,5,9,10,0,1,3,4,2,1,0,0,0,0,1,1,0,16
4,21,Black,"(11, 7)",100000540,4,11,7,0,2,2,4,2,0,0,0,0,0,1,1,0,13
4,23,Black,"(5, 11)",100000580,6,5,11,0,3,3,4,2,1,0,0,0,0,1,1,0,10
4,25,Black,"(4, 10)",1000000620,6,4,10,0,4,2,3,1,1,0,0,0,0,1,0,1,11
4,27,Black,"(6, 12)",5000005700,6,6,12,1,5,3,4,2,0,1,0,0,0,1,0,1,13
4,29,Black,"(9, 13)",1000000585,8,9,13,0,6,3,4,2,1,0,0,0,0,1,0,1,10
5,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
5,3,Black,"(11, 5)",650,6,11,5,0,0,3,4,3,0,0,0,0,1,0,0,0,2
5,5,Black,"(12, 4)",1595,8,12,4,0,0,3,4,2,1,0,0,0,0,1,0,0,4
5,7,Black,"(10, 5)",5220,5,10,5,0,0,2,4,1,1,0,0,0,1,1,0,0,7
5,9,Black,"(9, 2)",100000550,7,9,2,0,1,3,5,3,0,0,0,0,0,1,1,0,8
5,11,Black,"(14, 7)",1000000530,7,14,7,0,2,1,2,1,0,0,0,0,0,0,0,1,6
5,13,Black,"(8, 5)",1605,3,8,5,0,0,4,5,3,1,0,0,0,0,1,0,0,9
5,15,Black,"(7, 4)",1000000585,3,7,4,0,1,3,4,2,1,0,0,0,0,1,0,1,9
5,17,Black,"(7, 5)",6100,2,7,5,1,0,3,2,1,1,1,0,0,1,0,0,0,11
5,19,Black,"(11, 3)",4880,8,11,3,0,0,1,4,0,1,0,0,0,1,1,0,0,14
5,21,Black,"(6, 5)",2860,3,6,5,1,0,4,2,1,2,1,0,0,1,0,0,0,10
5,23,Black,"(7, 3)",5600,4,7,3,0,0,2,4,1,1,0,0,0,1,1,0,0,15
5,25,Black,"(9, 7)",100001040,2,9,7,1,1,4,5,3,0,1,0,0,0,1,1,0,17
5,27,Black,"(8, 6)",500005500,2,8,6,2,2,1,2,0,0,1,0,0,0,1,1,0,21
5,29,Black,"(8, 7)",31700,1,8,7,3,0,2,1,0,1,1,0,0,0,0,0,0,19
5,31,Black,"(11, 6)",10500,5,11,6,0,0,0,2,0,0,0,0,0,0,2,0,0,23
5,33,Black,"(12, 8)",1000000550,6,12,8,0,1,2,5,2,0,0,0,0,0,1,0,1,14
5,35,Black,"(12, 6)",100000520,6,12,6,0,2,1,3,1,0,0,0,0,0,1,1,0,22
5,37,Black,"(10, 10)",1000000545,6,10,10,0,3,3,5,3,0,0,0,0,0,1,0,1,9
5,39,Black,"(12, 7)",100000700,5,12,7,0,4,2,2,0,2,0,0,0,0,1,1,0,24
5,41,Black,"(13, 10)",1000000540,9,13,10,0,5,2,4,2,0,0,0,0,0,1,0,1,11
5,43,Black,"(11, 9)",100001100,6,11,9,1,6,1,3,0,0,1,0,0,1,1,1,0,21
5,45,Black,"(13, 8)",500005500,7,13,8,2,7,1,2,0,0,1,0,0,0,1,1,0,22
5,47,Black,"(11, 10)",8500,7,11,10,3,0,2,1,0,1,1,0,0,1,0,0,0,19
5,49,Black,"(8, 9)",5700,3,8,9,4,0,4,4,3,0,1,0,0,1,0,0,0,18
5,51,Black,"(6, 4)",2600,4,6,4,5,0,3,0,0,2,1,0,0,0,0,0,0,17
5,53,Black,"(6, 3)",22200,5,6,3,6,0,4,1,2,1,1,0,0,0,0,0,0,16
5,55,Black,"(5, 5)",8100,4,5,5,7,0,4,1,2,0,2,0,0,0,0,0,0,17
5,57,Black,"(4, 6)",80000720,4,4,6,8,0,4,4,2,0,1,1,0,2,0,0,0,13
5,59,Black,"(8, 2)",800000110,6,8,2,9,0,3,1,1,0,1,0,1,1,0,0,0,22
6,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
6,3,Black,"(10, 4)",650,6,10,4,0,0,3,4,3,0,0,0,0,1,0,0,0,3
6,5,Black,"(11, 5)",1595,6,11,5,0,0,3,4,2,1,0,0,0,0,1,0,0,4
6,7,Black,"(9, 6)",5080,3,9,6,0,0,2,5,2,0,0,0,0,1,1,0,0,7
6,9,Black,"(11, 6)",100000575,5,11,6,0,1,3,3,2,1,0,0,0,0,1,1,0,8
6,11,Black,"(7, 3)",5060,4,7,3,0,0,2,4,2,0,0,0,0,1,1,0,0,8
6,13,Black,"(12, 8)",100000550,6,12,8,0,1,3,5,3,0,0,0,0,0,1,1,0,8
6,15,Black,"(10, 8)",5100,4,10,8,0,0,3,6,3,0,0,0,0,1,1,0,0,11
6,17,Black,"(7, 2)",1085,5,7,2,0,0,3,3,2,1,0,0,0,0,1,0,0,7
6,19,Black,"(7, 5)",10650,2,7,5,1,0,4,3,3,0,1,0,0,0,1,0,0,13
6,21,Black,"(8, 6)",10500,2,8,6,2,0,2,2,0,1,1,0,0,1,1,0,0,17
6,23,Black,"(9, 2)",4580,7,9,2,0,0,2,5,2,0,0,0,0,1,1,0,0,12
6,25,Black,"(7, 6)",1130,1,7,6,0,0,3,3,1,2,0,0,0,0,1,0,0,16
6,27,Black,"(12, 7)",100000540,5,12,7,0,1,2,4,2,0,0,0,0,0,1,1,0,16
6,29,Black,"(7, 9)",1145,2,7,9,1,0,5,5,4,0,1,0,0,1,0,0,0,10
6,31,Black,"(6, 7)",850,1,6,7,0,0,1,2,0,1,0,0,0,2,0,0,0,14
6,33,Black,"(8, 2)",1650,6,8,2,0,0,3,1,0,3,0,0,0,0,1,0,0,15
6,35,Black,"(5, 4)",1000000550,5,5,4,0,1,3,5,3,0,0,0,0,0,1,0,1,16
6,37,Black,"(6, 3)",1000001110,5,6,3,1,2,2,3,1,0,1,0,0,1,1,0,1,20
6,39,Black,"(7, 1)",5575,6,7,1,2,0,2,2,1,0,1,0,0,1,0,0,0,14
6,41,Black,"(8, 1)",2900,7,8,1,3,0,3,0,0,2,1,0,0,0,0,0,0,16
6,43,Black,"(11, 4)",22200,7,11,4,4,0,2,1,0,1,1,0,0,0,0,0,0,22
6,45,Black,"(11, 2)",15500,9,11,2,5,0,2,1,0,0,2,0,0,0,1,0,0,16
6,47,Black,"(10, 2)",2400000700,8,10,2,6,0,2,2,0,0,1,0,1,2,0,0,0,23
7,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
7,3,Black,"(6, 10)",650,4,6,10,0,0,3,4,3,0,0,0,0,1,0,0,0,3
7,5,Black,"(6, 11)",1595,5,6,11,0,0,3,4,2,1,0,0,0,0,1,0,0,4
7,7,Black,"(7, 8)",865,1,7,8,0,0,2,3,1,1,0,0,0,2,0,0,0,7
7,9,Black,"(6, 9)",5740,3,6,9,0,0,2,3,0,2,0,0,0,1,1,0,0,9
7,11,Black,"(5, 7)",100000550,2,5,7,0,1,3,5,3,0,0,0,0,0,1,1,0,10
7,13,Black,"(8, 8)",100000615,2,8,8,0,2,2,3,1,1,0,0,0,0,1,1,0,13
7,15,Black,"(7, 11)",5540,4,7,11,0,0,2,3,0,2,0,0,0,1,1,0,0,12
7,17,Black,"(10, 12)",1000000550,8,10,12,0,1,3,5,3,0,0,0,0,0,1,0,1,8
7,19,Black,"(9, 10)",100000625,5,9,10,0,2,1,5,1,0,0,0,0,1,1,1,0,18
7,21,Black,"(11, 9)",1000000550,6,11,9,0,3,2,5,2,0,0,0,0,0,1,0,1,11
7,23,Black,"(12, 11)",1000000550,9,12,11,0,4,3,5,3,0,0,0,0,0,1,0,1,9
8,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
8,3,Black,"(5, 9)",650,4,5,9,0,0,3,4,3,0,0,0,0,1,0,0,0,3
8,5,Black,"(4, 8)",1590,4,4,8,0,0,3,4,2,1,0,0,0,0,1,0,0,5
8,7,Black,"(3, 10)",5100,7,3,10,0,0,2,5,2,0,0,0,0,1,1,0,0,6
8,9,Black,"(2, 7)",100000550,5,2,7,0,1,3,5,3,0,0,0,0,0,1,1,0,8
8,11,Black,"(7, 12)",1000000550,5,7,12,0,2,3,5,3,0,0,0,0,0,1,0,1,6
8,13,Black,"(4, 11)",5720,7,4,11,0,0,2,4,1,1,0,0,0,2,1,0,0,11
8,15,Black,"(3, 7)",3220,4,3,7,1,0,4,2,2,1,1,0,0,1,0,0,0,10
8,17,Black,"(1, 7)",8650,6,1,7,2,0,3,2,2,0,1,0,0,1,0,0,0,10
8,19,Black,"(5, 6)",100000550,3,5,6,0,1,3,5,3,0,0,0,0,0,1,1,0,11
8,21,Black,"(9, 11)",100000550,6,9,11,0,2,3,5,3,0,0,0,0,0,1,1,0,5
8,23,Black,"(0, 11)",1000000530,11,0,11,0,3,1,2,1,0,0,0,0,0,0,0,1,5
8,25,Black,"(8, 10)",5700,4,8,10,0,0,1,4,0,1,0,0,0,3,1,0,0,10
8,27,Black,"(10, 13)",5060,9,10,13,0,0,2,4,2,0,0,0,0,1,1,0,0,8
8,29,Black,"(8, 9)",100000540,3,8,9,0,1,3,4,3,0,0,0,0,0,1,1,0,13
8,31,Black,"(5, 8)",1000000575,3,5,8,0,2,2,3,1,1,0,0,0,0,1,0,1,23
8,33,Black,"(5, 7)",21800,2,5,7,1,0,3,1,1,1,1,0,0,0,0,0,0,21
8,35,Black,"(6, 8)",6700,2,6,8,2,0,3,2,0,2,1,0,0,1,1,0,0,25
8,37,Black,"(6, 6)",2840,2,6,6,3,0,5,2,3,1,1,0,0,0,0,0,0,17
8,39,Black,"(8, 6)",5200,2,8,6,4,0,5,3,3,0,2,0,0,0,0,0,0,13
8,41,Black,"(7, 6)",80000530,1,7,6,5,0,4,2,2,0,1,1,0,0,0,0,0,18
8,43,Black,"(8, 7)",4000003100,1,8,7,6,1,4,2,0,3,1,0,0,0,1,0,1,20
8,45,Black,"(4, 6)",800000065,4,4,6,7,0,4,1,1,1,1,0,1,0,0,0,0,23
9,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
9,3,Black,"(7, 6)",685,1,7,6,0,0,3,3,2,1,0,0,0,1,0,0,0,3
9,5,Black,"(6, 5)",1595,3,6,5,0,0,3,4,2,1,0,0,0,0,1,0,0,5
9,7,Black,"(8, 6)",5500,2,8,6,0,0,2,2,0,2,0,0,0,1,1,0,0,7
9,9,Black,"(10, 5)",5100,5,10,5,0,0,3,6,3,0,0,0,0,1,1,0,0,8
9,11,Black,"(7, 4)",100000570,3,7,4,0,1,2,3,1,1,0,0,0,0,1,1,0,11
9,13,Black,"(11, 8)",1000000550,5,11,8,0,2,3,5,3,0,0,0,0,0,1,0,1,8
9,15,Black,"(10, 4)",2360,6,10,4,1,0,5,3,3,1,1,0,0,0,0,0,0,11
9,17,Black,"(8, 4)",9000,4,8,4,2,0,2,2,0,1,1,0,0,2,0,0,0,15
9,19,Black,"(9, 7)",100000620,2,9,7,0,1,2,4,2,0,0,0,0,1,1,1,0,18
9,21,Black,"(9, 3)",1000000570,6,9,3,0,2,3,3,2,1,0,0,0,0,1,0,1,14
9,23,Black,"(11, 2)",5100,9,11,2,0,0,2,5,2,0,0,0,0,1,1,0,0,10
9,25,Black,"(8, 1)",1545,7,8,1,0,0,2,4,2,0,0,0,0,0,1,0,0,10
9,27,Black,"(7, 2)",1550,5,7,2,0,0,1,1,0,1,0,0,0,0,1,0,0,16
9,29,Black,"(5, 7)",1545,2,5,7,0,0,3,5,3,0,0,0,0,1,1,0,0,12
9,31,Black,"(7, 8)",5200,1,7,8,0,0,3,4,2,1,0,0,0,1,1,0,0,16
9,33,Black,"(2, 3)",100000550,9,2,3,0,1,3,5,3,0,0,0,0,0,1,1,0,5
9,35,Black,"(2, 4)",100000630,8,2,4,0,2,3,4,2,1,0,0,0,0,1,1,0,8
9,37,Black,"(4, 3)",100000625,7,4,3,0,3,1,4,1,0,0,0,0,1,1,1,0,14
9,39,Black,"(2, 6)",500005700,6,2,6,1,4,3,5,2,0,1,0,0,0,1,1,0,12
9,41,Black,"(1, 8)",1000000550,7,1,8,0,5,3,5,3,0,0,0,0,0,1,0,1,6
10,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
10,3,Black,"(6, 6)",730,2,6,6,0,0,3,3,2,1,0,0,0,1,0,0,0,3
10,5,Black,"(6, 5)",730,3,6,5,0,0,3,3,2,1,0,0,0,1,0,0,0,5
10,7,Black,"(8, 8)",1055,2,8,8,1,0,5,3,4,0,1,0,0,0,0,0,0,6
10,9,Black,"(8, 9)",730,3,8,9,0,0,3,3,2,1,0,0,0,1,0,0,0,6
10,11,Black,"(6, 4)",1155,4,6,4,1,0,4,3,3,0,1,0,0,1,0,0,0,7
10,13,Black,"(7, 4)",850,3,7,4,0,0,2,2,0,2,0,0,0,2,0,0,0,9
10,15,Black,"(8, 4)",1060,4,8,4,1,0,4,3,3,0,1,0,0,0,0,0,0,10
10,17,Black,"(8, 5)",720,3,8,5,0,0,2,2,1,1,0,0,0,1,0,0,0,14
10,19,Black,"(7, 2)",5040,5,7,2,0,0,1,4,1,0,0,0,0,1,1,0,0,11
10,21,Black,"(7, 3)",100000700,4,7,3,0,1,3,2,0,3,0,0,0,0,1,1,0,15
10,23,Black,"(7, 1)",100001035,6,7,1,1,2,3,4,2,0,1,0,0,0,1,1,0,12
10,25,Black,"(8, 2)",2760,6,8,2,2,0,4,0,2,1,1,0,0,0,0,0,0,16
10,27,Black,"(5, 4)",100000610,5,5,4,0,1,1,3,0,1,0,0,0,0,1,1,0,21
10,29,Black,"(9, 6)",5360,3,9,6,0,0,2,3,1,1,0,0,0,1,1,0,0,19
10,31,Black,"(9, 2)",100000570,7,9,2,0,1,2,3,1,1,0,0,0,0,1,1,0,18
10,33,Black,"(11, 3)",5100,8,11,3,0,0,2,5,2,0,0,0,0,1,1,0,0,11
10,35,Black,"(3, 5)",1000000540,6,3,5,0,1,2,4,2,0,0,0,0,0,1,0,1,13
10,37,Black,"(4, 6)",5340,4,4,6,0,0,2,4,1,1,0,0,0,1,1,0,0,18
10,39,Black,"(2, 3)",1000000550,9,2,3,0,1,3,5,3,0,0,0,0,0,1,0,1,11
10,41,Black,"(4, 1)",100000525,9,4,1,0,2,2,3,2,0,0,0,0,0,1,1,0,16
10,43,Black,"(5, 1)",500008000,8,5,1,1,3,2,2,0,1,1,0,0,0,1,1,0,21
10,45,Black,"(3, 4)",5020,7,3,4,0,0,1,4,1,0,0,0,0,2,1,0,0,22
10,47,Black,"(0, 6)",1000000530,8,0,6,0,1,1,2,1,0,0,0,0,0,0,0,1,8
10,49,Black,"(4, 8)",100000550,4,4,8,0,2,3,5,3,0,0,0,0,0,1,1,0,13
10,51,Black,"(5, 7)",5140,2,5,7,0,0,1,3,0,1,0,0,0,1,1,0,0,25
10,53,Black,"(1, 1)",1000000500,12,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,10
10,55,Black,"(3, 2)",2000,9,3,2,1,0,1,1,0,0,1,0,0,0,1,0,0,23
10,57,Black,"(1, 7)",4980,6,1,7,0,0,1,3,1,0,0,0,0,1,1,0,0,13
10,59,Black,"(3, 6)",100000500,5,3,6,0,1,0,2,0,0,0,0,0,0,1,1,0,28
10,61,Black,"(2, 8)",1000000515,6,2,8,0,2,1,2,1,0,0,0,0,0,1,0,1,16
10,63,Black,"(3, 9)",6075,6,3,9,1,0,3,2,1,0,2,0,0,1,0,0,0,16
10,65,Black,"(2, 10)",800000545,8,2,10,2,0,4,3,2,0,1,0,1,0,0,0,0,11
11,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
11,3,Black,"(6, 8)",730,2,6,8,0,0,3,3,2,1,0,0,0,1,0,0,0,3
11,5,Black,"(5, 9)",1560,4,5,9,1,0,5,3,4,0,1,0,0,0,0,0,0,5
11,7,Black,"(3, 9)",2820,6,3,9,0,0,2,3,2,0,0,0,0,1,1,0,0,6
11,9,Black,"(8, 4)",80000545,4,8,4,0,1,3,5,3,0,0,0,0,0,1,1,0,5
11,11,Black,"(6, 9)",4520,3,6,9,1,0,5,2,2,2,1,0,0,0,0,0,0,8
11,13,Black,"(6, 10)",5080,4,6,10,2,0,5,2,3,1,1,0,0,0,0,0,0,9
11,15,Black,"(5, 10)",6575,5,5,10,0,0,3,2,1,2,0,0,0,0,1,0,0,11
11,17,Black,"(4, 8)",80001535,4,4,8,1,1,3,3,2,0,1,0,0,0,1,1,0,15
11,19,Black,"(2, 7)",160000530,5,2,7,0,2,2,4,2,0,0,0,0,0,1,1,0,10
11,21,Black,"(8, 5)",80000630,3,8,5,0,3,3,4,2,1,0,0,0,0,1,1,0,9
11,23,Black,"(3, 8)",80001525,5,3,8,1,4,3,3,1,1,1,0,0,0,1,1,0,18
11,25,Black,"(8, 7)",43100,1,8,7,2,0,6,3,3,1,2,0,0,0,0,0,0,16
11,27,Black,"(7, 8)",100000620,1,7,8,3,0,4,1,1,1,1,1,0,0,0,0,0,22
11,29,Black,"(4, 11)",1000000085,7,4,11,4,0,4,3,2,0,1,0,1,1,0,0,0,14
12,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
12,3,Black,"(6, 6)",685,2,6,6,0,0,3,3,2,1,0,0,0,1,0,0,0,3
12,5,Black,"(7, 5)",1150,2,7,5,0,0,3,4,2,1,0,0,0,0,1,0,0,5
12,7,Black,"(5, 4)",2860,5,5,4,0,0,2,5,2,0,0,0,0,1,1,0,0,7
12,9,Black,"(8, 4)",1560,4,8,4,1,0,5,3,4,0,1,0,0,0,0,0,0,9
12,11,Black,"(8, 2)",2800,6,8,2,0,0,2,3,2,0,0,0,0,1,1,0,0,8
12,13,Black,"(7, 3)",23900,4,7,3,0,0,1,3,0,1,0,0,0,1,1,0,0,12
12,15,Black,"(7, 4)",80000615,3,7,4,0,1,2,3,1,1,0,0,0,0,1,1,0,15
12,17,Black,"(9, 5)",80001545,4,9,5,1,2,4,4,3,0,1,0,0,0,1,1,0,15
12,19,Black,"(7, 2)",10200,5,7,2,2,0,3,2,2,0,1,0,0,0,1,0,0,15
12,21,Black,"(6, 3)",5700,5,6,3,3,0,2,1,0,1,1,0,0,1,0,0,0,19
12,23,Black,"(10, 3)",22000,7,10,3,0,0,1,6,1,0,0,0,0,2,2,0,0,16
12,25,Black,"(9, 0)",800000525,9,9,0,0,1,1,2,1,0,0,0,0,0,0,0,1,12
12,27,Black,"(11, 1)",2400000515,10,11,1,0,2,1,3,1,0,0,0,0,0,1,0,1,12
13,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
13,3,Black,"(8, 6)",650,2,8,6,0,0,4,3,3,1,0,0,0,0,0,0,0,3
13,5,Black,"(7, 5)",6225,2,7,5,0,0,3,4,2,1,0,0,0,0,1,0,0,5
13,7,Black,"(6, 7)",6200,1,6,7,0,0,4,4,3,1,0,0,0,0,1,0,0,7
13,9,Black,"(9, 7)",5060,2,9,7,1,0,5,3,3,1,1,0,0,0,0,0,0,8
13,11,Black,"(5, 4)",22100,5,5,4,0,0,1,6,1,0,0,0,0,2,2,0,0,10
13,13,Black,"(6, 2)",80000545,6,6,2,0,1,3,5,3,0,0,0,0,0,1,1,0,8
13,15,Black,"(4, 6)",80000545,4,4,6,0,2,3,5,3,0,0,0,0,0,1,1,0,11
13,17,Black,"(5, 3)",240000610,6,5,3,0,3,2,2,1,1,0,0,0,0,1,1,0,13
13,19,Black,"(10, 1)",800000545,9,10,1,0,4,3,5,3,0,0,0,0,0,1,0,1,5
14,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
14,3,Black,"(6, 7)",685,1,6,7,0,0,3,3,2,1,0,0,0,1,0,0,0,3
14,5,Black,"(8, 7)",1060,1,8,7,1,0,5,3,4,0,1,0,0,0,0,0,0,4
14,7,Black,"(6, 9)",1055,3,6,9,0,0,3,5,3,0,0,0,0,0,1,0,0,7
14,9,Black,"(7, 8)",54900,1,7,8,1,0,3,2,0,2,1,0,0,0,1,0,0,9
14,11,Black,"(7, 9)",5200,2,7,9,2,0,4,2,2,1,1,0,0,1,0,0,0,11
14,13,Black,"(8, 9)",10975,3,8,9,3,0,5,2,3,0,2,0,0,1,0,0,0,12
